count,fips,NAME,medincome
230,79274,"Upper St. Clair township, Allegheny County, Pennsylvania",168181
202,72160,"South Fayette township, Allegheny County, Pennsylvania",135192
191,50784,"Moon township, Allegheny County, Pennsylvania",119308
189,6064,"Bethel Park municipality, Allegheny County, Pennsylvania",107452
97,6064,"Bethel Park municipality, Allegheny County, Pennsylvania",107452
186,60272,"Pine township, Allegheny County, Pennsylvania",209279
185,56392,"Ohio township, Allegheny County, Pennsylvania",153544
183,45900,"McCandless township, Allegheny County, Pennsylvania",127904
173,59032,"Penn Hills township, Allegheny County, Pennsylvania",71984
157,69584,"Shaler township, Allegheny County, Pennsylvania",98706
131,27552,"Franklin Park borough, Allegheny County, Pennsylvania",186411
129,50528,"Monroeville municipality, Allegheny County, Pennsylvania",86352
128,65352,"Robinson township, Allegheny County, Pennsylvania",111493
122,47696,"Marshall township, Allegheny County, Pennsylvania",194546
111,55016,"North Fayette township, Allegheny County, Pennsylvania",108376
109,61536,"Plum borough, Allegheny County, Pennsylvania",99891
104,32328,"Hampton township, Allegheny County, Pennsylvania",133390
99,61328,"Pleasant Hills borough, Allegheny County, Pennsylvania",98613
95,66264,"Ross township, Allegheny County, Pennsylvania",97972
93,83512,"West Mifflin borough, Allegheny County, Pennsylvania",70836
91,84512,"Whitehall borough, Allegheny County, Pennsylvania",87307
82,15216,"Collier township, Allegheny County, Pennsylvania",127117
82,51696,"Mount Lebanon township, Allegheny County, Pennsylvania",149030
82,25904,"Findlay township, Allegheny County, Pennsylvania",91909
80,56384,"O'Hara township, Allegheny County, Pennsylvania",143434
80,27120,"Fox Chapel borough, Allegheny County, Pennsylvania",341148
75,8416,"Brentwood borough, Allegheny County, Pennsylvania",67468
73,3928,"Baldwin borough, Allegheny County, Pennsylvania",87013
71,37955,"Jefferson Hills borough, Allegheny County, Pennsylvania",131922
68,19576,"Dormont borough, Allegheny County, Pennsylvania",79861
66,64528,"Richland township, Allegheny County, Pennsylvania",138947
65,23000,"Elizabeth township, Allegheny County, Pennsylvania",93342
59,75816,"Swissvale borough, Allegheny County, Pennsylvania",64707
58,52320,"Munhall borough, Allegheny County, Pennsylvania",65100
54,56088,"Oakmont borough, Allegheny County, Pennsylvania",110613
54,85188,"Wilkinsburg borough, Allegheny County, Pennsylvania",55893
51,68388,"Scott township, Allegheny County, Pennsylvania",95299
50,11336,"Carnegie borough, Allegheny County, Pennsylvania",68432
46,32832,"Harrison township, Allegheny County, Pennsylvania",79189
45,31256,"Green Tree borough, Allegheny County, Pennsylvania",97082
44,69376,"Sewickley borough, Allegheny County, Pennsylvania",139984
42,39312,"Kennedy township, Allegheny County, Pennsylvania",93728
41,36808,"Indiana township, Allegheny County, Pennsylvania",142812
39,5312,"Bellevue borough, Allegheny County, Pennsylvania",77637
32,26592,"Forest Hills borough, Allegheny County, Pennsylvania",100309
32,11680,"Castle Shannon borough, Allegheny County, Pennsylvania",81521
30,46264,"McKees Rocks borough, Allegheny County, Pennsylvania",46567
30,16848,"Crafton borough, Allegheny County, Pennsylvania",87347
29,85184,"Wilkins township, Allegheny County, Pennsylvania",69695
29,22520,"Edgewood borough, Allegheny County, Pennsylvania",115232
28,13608,"Churchill borough, Allegheny County, Pennsylvania",121820
28,84704,"White Oak borough, Allegheny County, Pennsylvania",74351
26,3608,"Avalon borough, Allegheny County, Pennsylvania",62325
25,22576,"Edgeworth borough, Allegheny County, Pennsylvania",307396
24,84144,"West View borough, Allegheny County, Pennsylvania",82105
23,16144,"Coraopolis borough, Allegheny County, Pennsylvania",61718
22,74648,"Stowe township, Allegheny County, Pennsylvania",60928
22,8624,"Bridgeville borough, Allegheny County, Pennsylvania",65278
22,3320,"Aspinwall borough, Allegheny County, Pennsylvania",131204
22,35424,"Homestead borough, Allegheny County, Pennsylvania",49102
20,55488,"North Versailles township, Allegheny County, Pennsylvania",74908
18,5504,"Ben Avon borough, Allegheny County, Pennsylvania",126882
18,64240,"Reserve township, Allegheny County, Pennsylvania",77444
18,29432,"Glassport borough, Allegheny County, Pennsylvania",52704
16,32624,"Harmar township, Allegheny County, Pennsylvania",96421
16,83200,"West Homestead borough, Allegheny County, Pennsylvania",82056
16,17048,"Crescent township, Allegheny County, Pennsylvania",86005
15,82800,"West Deer township, Allegheny County, Pennsylvania",96202
15,3932,"Baldwin township, Allegheny County, Pennsylvania",82942
15,21444,"East McKeesport borough, Allegheny County, Pennsylvania",66107
14,80040,"Versailles borough, Allegheny County, Pennsylvania",54053
14,62320,"Port Vue borough, Allegheny County, Pennsylvania",65238
13,80032,"Verona borough, Allegheny County, Pennsylvania",61425
12,42392,"Leetsdale borough, Allegheny County, Pennsylvania",70170
12,42368,"Leet township, Allegheny County, Pennsylvania",112212
12,27608,"Frazer township, Allegheny County, Pennsylvania",90949
12,13392,"Cheswick borough, Allegheny County, Pennsylvania",86690
12,8064,"Bradford Woods borough, Allegheny County, Pennsylvania",155401
12,69400,"Sewickley Heights borough, Allegheny County, Pennsylvania",381964
11,69776,"Sharpsburg borough, Allegheny County, Pennsylvania",56378
11,26896,"Forward township, Allegheny County, Pennsylvania",73107
10,54816,"North Braddock borough, Allegheny County, Pennsylvania",75378
10,7992,"Braddock borough, Allegheny County, Pennsylvania",33735
10,51744,"Mount Oliver borough, Allegheny County, Pennsylvania",51006
10,37000,"Ingram borough, Allegheny County, Pennsylvania",73081
10,5216,"Bell Acres borough, Allegheny County, Pennsylvania",204195
9,724,"Aleppo township, Allegheny County, Pennsylvania",108869
9,49920,"Millvale borough, Allegheny County, Pennsylvania",62278
9,43064,"Liberty borough, Allegheny County, Pennsylvania",75691
9,23616,"Emsworth borough, Allegheny County, Pennsylvania",70677
8,53136,"Neville township, Allegheny County, Pennsylvania",57932
8,7000,"Blawnox borough, Allegheny County, Pennsylvania",56802
7,55840,"Oakdale borough, Allegheny County, Pennsylvania",87350
7,19856,"Dravosburg borough, Allegheny County, Pennsylvania",56752
7,8008,"Braddock Hills borough, Allegheny County, Pennsylvania",50408
7,76104,"Tarentum borough, Allegheny County, Pennsylvania",45314
7,72960,"Springdale borough, Allegheny County, Pennsylvania",73891
7,66320,"Rosslyn Farms borough, Allegheny County, Pennsylvania",152292
6,77912,"Turtle Creek borough, Allegheny County, Pennsylvania",48406
6,24160,"Etna borough, Allegheny County, Pennsylvania",54833
6,69416,"Sewickley Hills borough, Allegheny County, Pennsylvania",191333
6,72968,"Springdale township, Allegheny County, Pennsylvania",73577
6,84440,"Whitaker borough, Allegheny County, Pennsylvania",56336
6,39624,"Kilbuck township, Allegheny County, Pennsylvania",115168
6,21024,"East Deer township, Allegheny County, Pennsylvania",63571
5,43408,"Lincoln borough, Allegheny County, Pennsylvania",92257
5,12496,"Chalfant borough, Allegheny County, Pennsylvania",58414
5,29732,"Glen Osborne borough, Allegheny County, Pennsylvania",181563
5,22992,"Elizabeth borough, Allegheny County, Pennsylvania",58064
5,7976,"Brackenridge borough, Allegheny County, Pennsylvania",46846
3,85496,"Wilmerding borough, Allegheny County, Pennsylvania",40085
3,76560,"Thornburg borough, Allegheny County, Pennsylvania",234586
3,60712,"Pitcairn borough, Allegheny County, Pennsylvania",42339
3,5520,"Ben Avon Heights borough, Allegheny County, Pennsylvania",227309
2,25400,"Fawn township, Allegheny County, Pennsylvania",84932
2,21712,"East Pittsburgh borough, Allegheny County, Pennsylvania",42675
2,33592,"Heidelberg borough, Allegheny County, Pennsylvania",76285
2,59152,"Pennsbury Village borough, Allegheny County, Pennsylvania",81657
2,82848,"West Elizabeth borough, Allegheny County, Pennsylvania",61494
2,63408,"Rankin borough, Allegheny County, Pennsylvania",41222
1,72568,"South Versailles township, Allegheny County, Pennsylvania",77650
1,80600,"Wall borough, Allegheny County, Pennsylvania",103226
